# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#TELEPORT
11120	215	154	231	181	0 #16 27

#IDLE
11121	245	154	260	181	0
11111	185	154	200	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
#TELEPORT
12120	216	0	230	15	0 #14 15

 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

############ FLY ################
#TELEPORT
13110	215	633	231	662 0 #16 29

#IDLE
13111	181	634	202	661	0 #Left
13112	242	634	263	661	0 #Right

#WALK RIGHT
13113	272	634	293	661	0
13114	302	634	323	661	0
13136	242	634	263	661	0

#WALK LEFT
13115	152	634	173	661	0
13116	122	634	139	661	0 #21
13135	181	634	202	661	0	

#RUN RIGHT
13117	331	634	355	661	0
13118	362	634	385	661	0
13119	393	634	414	661	0

#RUN LEFT
13120	91	634	115	661	0 #24
13121	61	634 	84	661	0 #23
13122	32	634	53	661	0 #21

#BRACE RIGHT & LEFT
13123	5	633	20	662	0 #Left
13124	425	633	440	662	0 #Right

#JUMP WALK RIGHT & LEFT 
13125	31	754	54	781	0 #Left
13126	392	754	415	781	0 #Right

#JUMP RUN RIGHT & LEFT 
13127	91	714	114	741	0 #Left
13128	61	714	84	741	0

13129	331	714	354	741	0 #Right
13130	361	714	384	741	0

#SIT RIGHT & LEFT 
13131	32	719	54	737	0 #Left
13132	2	719	24	737	0

13133	392	719	414	737	0 #Right
13134	422	719	444	737	0

#------------------------------------------------------------------------------------------------

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
################### FLY #################
#TELE
299	13110	100

#IDLE
300	13111	100 #Left
301	13112	100 #Right

#WALKING
302	13113	100	13114	100 	13136	100 #Right
303	13115	100	13116	100 	13135	100 #Left

#RUNNING 
304	13117	50	13118	50	13119	50 #Right
305	13120	50	13121	50	13122	50 #Left

#JUMP WALK
306	13125	100 #Left
307	13126	100 #Right

#JUMP RUN
308	13127	50	13128	50 #Left
309	13129	50	13130	50 #Right

#SIT 
310	13131	100	13132	100 #Left
311	13133	100	13134	100 #Right

#BRACE
312	13123	100 #Left
313	13124	100 #Right

################### BIG #################
#TELE
399	11120	100

#IDLE
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
#TELE
1099	12120	100

#IDLE
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
